Borough,Lat,Lng,name,lat,lng,category
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Costa Coffee,51.57689015056579,0.17949732917977618,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,The Range,51.57555018665147,0.18025394251008559,Furniture / Home Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Debenhams,51.579097345896464,0.18272017470028412,Department Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Ciao Bella,51.576103164474695,0.18281945165769764,Italian Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Costa Coffee,51.576481064118624,0.18244785946385167,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Premiere Cinema,51.579411337301266,0.18565672644446166,Multiplex
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Braza,51.576343855312615,0.1817600019889725,Brazilian Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Pets at Home,51.56960520521533,0.1838777993536045,Pet Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Marks & Spencer,51.57749521,0.18215411,Department Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Lidl,51.57388875723948,0.18304162932747964,Supermarket
Barking and Dagenham ,51.57478000110703,0.17440997072236541,TK Maxx,51.577050625129424,0.1797121820762835,Clothing Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,The Bull,51.57952051276072,0.18287109557333414,Pub
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Waterstones,51.57752295146222,0.18303038574265112,Bookstore
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Central Park,51.559560186523925,0.16198065419715413,Park
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Patisserie Valerie,51.576446767751584,0.17996597372670792,Café
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Starbucks,51.576281,0.181187,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Raphael Park,51.58608404218551,0.19163901962680024,Park
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Teapot Cafe,51.579782,0.182306,Café
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Home Bargains,51.5788197,0.1802952,Discount Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Hylands Park,51.570948307554126,0.20035028457641602,Park
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Harris + Hoole,51.565613781281414,0.1912781878896494,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Frankie & Benny's,51.5751804,0.1801494,American Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Toby Carvery,51.575504518311845,0.1803646795161884,English Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Starbucks,51.577947,0.182874,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,TGI Fridays,51.57678,0.17995042,American Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Better Gym Romford,51.57931264770116,0.18179935105162576,Gym
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Romford Market,51.57896003112218,0.18034660538201328,Plaza
Barking and Dagenham ,51.57478000110703,0.17440997072236541,The Liberty,51.578072716981296,0.18319641467620418,Shopping Mall
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Zizzi,51.57498202395798,0.17936234299088483,Italian Restaurant
Barking and Dagenham ,51.57478000110703,0.17440997072236541,H&M,51.5786862,0.1847584,Clothing Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Romford Stadium,51.57215355572728,0.16684590990675302,Racetrack
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Topshop,51.5783299,0.1834919,Boutique
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Greggs,51.57846970266959,0.18158555030822754,Bakery
Barking and Dagenham ,51.57478000110703,0.17440997072236541,hmv,51.57746532814951,0.1828063091926424,Music Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,BB's Bakers + Baristas,51.57940815357753,0.18563381720906616,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Co-op Food,51.575253,0.18314359,Grocery Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Vue,51.575530783868416,0.17958939107750102,Multiplex
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Romford Shopping Hall,51.57981648777527,0.18234729766845703,Shopping Mall
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Cafe Bueno,51.578343672899194,0.18014344769083177,Café
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Greggs,51.57693429306766,0.18189248633853336,Bakery
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Premier Inn Romford Central hotel,51.5775533,0.1867607,Hotel
Barking and Dagenham ,51.57478000110703,0.17440997072236541,wilko,51.5790786,0.1861303,Furniture / Home Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Costa Coffee,51.579747,0.182072,Coffee Shop
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Co-op Food,51.56581960098215,0.17596575392056632,Grocery Store
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Boots,51.577127,0.182998,Pharmacy
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Asda,51.5799473,0.1854121,Supermarket
Barking and Dagenham ,51.57478000110703,0.17440997072236541,The Brewery,51.57553533642363,0.18022136264498217,Shopping Mall
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Boots,51.5758960320088,0.18044829368591309,Pharmacy
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Homebase,51.570949,0.182463,Hardware Store
